Name,Description,url
Bluegrass Country,WAMU Bluegrass Country,http://ice24.securenetsystems.net/WAMU
Maine Public Radio,Maine Public Radio,http://playerservices.streamtheworld.com/api/livestream-redirect/WMEAFM.mp3
In Tune,In Tune Streaming Music from Maine Public Radio,http://playerservices.streamtheworld.com/api/livestream-redirect/INTUNE_ADP.aac
Classical,Maine Public Classical,http://playerservices.streamtheworld.com/api/livestream-redirect/WMEA_CLASSICAL_ADP.aac
American Roots,Modern and Traditional Americana,http://igor.torontocast.com:1940/stream
CBC Radio 1,"Canada Broadcasting Corporation, Radio 1, Montreal",http://liveradio.cbc.ca/i/CBCR1_MTL@360544/index_48_a-p.m3u8?
CBC Music,"Canada Broadcasting Corporation, Music, Montreal",http://cbcliveradio2-lh.akamaihd.net/i/CBCR2_TOR@382863/master.m3u8
Wyldwood,"Canadian ""pagan music""",http://hazel.torontocast.com:1425/stream.m3u
Twang City,Americana,http://us1.internet-radio.com:8653/;
GotRadio Bluegrass,,http://acache.cdnstream1.com/gr02.cdnstream.com/6000_128.mp3
Folk Alley,Americana and Roots Music,http://www.folkalley.com/folkalley.pls
Folk Alley Irish,,http://www.folkalley.com/irish.pls
Folk Alley Grass,Bluegrass and contemporary folk From Fresh Grass Festival,http://www.folkalley.com/freshgrass.pls
Soma FM West Coast 70s,Mellow 1970s West Coast Rock,http://somafm.com/seventies320.pls
Radio Acadie, Lafayette LA music mix,http://provisioning.streamtheworld.com/pls/KRVSFM.pls
 

